t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
216_II,B589,BHV5,C33,0.0,0.06666666666666667,0.9333333333333333,15.0
216_II,B589,BHV5,C46,0.0,0.06666666666666667,0.9333333333333333,15.0
216_II,B589,C33,C46,1.0,0.0,0.0,15.0
216_II,BHV5,C33,C46,1.0,0.0,0.0,15.0
B589,BHV5,C33,C46,1.0,0.0,0.0,15.0
216_II,B589,BHV5,Cooper,0.0,0.06666666666666667,0.9333333333333333,15.0
216_II,B589,C33,Cooper,1.0,0.0,0.0,15.0
216_II,BHV5,C33,Cooper,1.0,0.0,0.0,15.0
B589,BHV5,C33,Cooper,1.0,0.0,0.0,15.0
216_II,B589,C46,Cooper,1.0,0.0,0.0,15.0
216_II,BHV5,C46,Cooper,1.0,0.0,0.0,15.0
B589,BHV5,C46,Cooper,1.0,0.0,0.0,15.0
216_II,C33,C46,Cooper,0.8,0.0,0.2,15.0
B589,C33,C46,Cooper,0.8,0.0,0.2,15.0
BHV5,C33,C46,Cooper,0.8,0.0,0.2,15.0
216_II,B589,BHV5,SP1777,0.0,0.8,0.2,15.0
216_II,B589,C33,SP1777,0.0,1.0,0.0,15.0
216_II,BHV5,C33,SP1777,0.06666666666666667,0.9333333333333333,0.0,15.0
B589,BHV5,C33,SP1777,0.2,0.0,0.8,15.0
216_II,B589,C46,SP1777,0.0,1.0,0.0,15.0
216_II,BHV5,C46,SP1777,0.06666666666666667,0.9333333333333333,0.0,15.0
B589,BHV5,C46,SP1777,0.2,0.0,0.8,15.0
216_II,C33,C46,SP1777,0.0,0.0,1.0,15.0
B589,C33,C46,SP1777,0.0,0.0,1.0,15.0
BHV5,C33,C46,SP1777,0.0,0.0,1.0,15.0
216_II,B589,Cooper,SP1777,0.0,1.0,0.0,15.0
216_II,BHV5,Cooper,SP1777,0.06666666666666667,0.9333333333333333,0.0,15.0
B589,BHV5,Cooper,SP1777,0.2,0.0,0.8,15.0
216_II,C33,Cooper,SP1777,0.0,0.0,1.0,15.0
B589,C33,Cooper,SP1777,0.0,0.0,1.0,15.0
BHV5,C33,Cooper,SP1777,0.0,0.0,1.0,15.0
216_II,C46,Cooper,SP1777,0.0,0.0,1.0,15.0
B589,C46,Cooper,SP1777,0.0,0.0,1.0,15.0
BHV5,C46,Cooper,SP1777,0.0,0.0,1.0,15.0
C33,C46,Cooper,SP1777,0.2,0.0,0.8,15.0
216_II,B589,BHV5,Titanium_IBR_MLV_vaccine,0.0,0.06666666666666667,0.9333333333333333,15.0
216_II,B589,C33,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
216_II,BHV5,C33,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
B589,BHV5,C33,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
216_II,B589,C46,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
216_II,BHV5,C46,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
B589,BHV5,C46,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
216_II,C33,C46,Titanium_IBR_MLV_vaccine,0.9333333333333333,0.0,0.06666666666666667,15.0
B589,C33,C46,Titanium_IBR_MLV_vaccine,0.9333333333333333,0.0,0.06666666666666667,15.0
BHV5,C33,C46,Titanium_IBR_MLV_vaccine,0.9333333333333333,0.0,0.06666666666666667,15.0
216_II,B589,Cooper,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
216_II,BHV5,Cooper,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
B589,BHV5,Cooper,Titanium_IBR_MLV_vaccine,1.0,0.0,0.0,15.0
216_II,C33,Cooper,Titanium_IBR_MLV_vaccine,0.7333333333333333,0.2,0.06666666666666667,15.0
B589,C33,Cooper,Titanium_IBR_MLV_vaccine,0.7333333333333333,0.2,0.06666666666666667,15.0
BHV5,C33,Cooper,Titanium_IBR_MLV_vaccine,0.7333333333333333,0.2,0.06666666666666667,15.0
216_II,C46,Cooper,Titanium_IBR_MLV_vaccine,0.0,0.3333333333333333,0.6666666666666666,15.0
B589,C46,Cooper,Titanium_IBR_MLV_vaccine,0.0,0.3333333333333333,0.6666666666666666,15.0
BHV5,C46,Cooper,Titanium_IBR_MLV_vaccine,0.0,0.3333333333333333,0.6666666666666666,15.0
C33,C46,Cooper,Titanium_IBR_MLV_vaccine,0.0,0.3333333333333333,0.6666666666666666,15.0
216_II,B589,SP1777,Titanium_IBR_MLV_vaccine,0.0,0.0,1.0,15.0
216_II,BHV5,SP1777,Titanium_IBR_MLV_vaccine,0.06666666666666667,0.0,0.9333333333333333,15.0
B589,BHV5,SP1777,Titanium_IBR_MLV_vaccine,0.2,0.8,0.0,15.0
216_II,C33,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
B589,C33,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
BHV5,C33,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
216_II,C46,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
B589,C46,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
BHV5,C46,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
C33,C46,SP1777,Titanium_IBR_MLV_vaccine,0.06666666666666667,0.9333333333333333,0.0,15.0
216_II,Cooper,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
B589,Cooper,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
BHV5,Cooper,SP1777,Titanium_IBR_MLV_vaccine,0.0,1.0,0.0,15.0
C33,Cooper,SP1777,Titanium_IBR_MLV_vaccine,0.06666666666666667,0.7333333333333333,0.2,15.0
C46,Cooper,SP1777,Titanium_IBR_MLV_vaccine,0.6666666666666666,0.0,0.3333333333333333,15.0
